eop_scientificname_verbatim,scientificname_verbatim,type_locality,habitat,notes
Chloeia pinnata,Chloeia pinnata,,,
Chone aurantiaca,Chone aurantiaca,,,
Chone duneri,Chone duneri,,,
Paradialychone ecaudata,Paradialychone ecaudata,,,
Chone infundibuliformis,Chone infundibuliformis,,,
Chone magna,Chone magna,,,
Chone mollis,Chone mollis,,,
Heterochone calyx,Heterochone calyx,,,eop has modified name
Heterochone tenera,Heterochone tenera,,,eop has modified name
Chorilia longipes,Chorilia longipes,,,
Choristes carpenteri,Choristes carpenteri,,deep,
Choristes coani,Choristes coani,,deep,
Chrysaora fuscescens,Chrysaora fuscescens,,,
Chrysaora melanaster,Chrysaora melanaster,,,
Chrysopetalum occidentale,Chrysopetalum occidentale,,,
Chthamalus,Chthamalus,,,
Chthamalus dalli,Chthamalus dalli,,,
Cidarina cidaris,Cidarina cidaris,,,
Ciliocincta sabellariae,Ciliocincta sabellariae,,,
Ciocalypta penicillus,Ciocalypta penicillus,,,
Ciona intestinalis,Ciona intestinalis,,,
Circeis armoricana,Circeis armoricana,,,
Circeis spirillum,Circeis spirillum,,,
Cirolana harfordi,Cirolana harfordi,,,
Cirratulus cirratus,Cirratulus cirratus,,,
Cirratulus spectabilis,Cirratulus spectabilis,,,
Cirriformia spirabranchia,Cirriformia spirabranchia,,,
Cirrophorus branchiatus,Cirrophorus branchiatus,,,
Cirrophorus lyra,Cirrophorus lyra,,,
Cirroteuthis muelleri,Cirroteuthis muelleri,,,
Cladocarpus spp,Cladocarpus spp,,,
Cladocarpus vancouverensis,Cladocarpus vancouverensis,,,
Cladonema californicum,Cladonema californicum,,,
Guancha blanca,Guancha blanca,,,
Clathrina coriacea,Clathrina coriacea,,,
Clathrina spp.,Clathrina,,,
Clathromangelia interfossa,Perimangelia interfossa,,,
Clausidium vancouverense,Clausidium vancouverense,,,
Clavelina huntsmani,Clavelina huntsmani,,,
Clavelina sp.,Clavelina,,,
Clavopora occidentalis,Ascorhiza occidentalis,,,
Clavularia morbesbii,Clavularia morbesbii,,,
Clinocardium blandum,Clinocardium blandum,,,
Clinocardium californiense,Clinocardium californiense,,,
Clinocardium ciliatum,Clinocardium ciliatum,,,
Clinocardium blandum,Clinocardium blandum,,,
Clinocardium nuttallii,Clinocardium nuttallii,,,
Clio polita,Clio polita,,,
Clio pyramidata,Clio pyramidata,,,
Clio recurva,Clio recurva,,,
Cliona argus,Cliona argus,,,
Cliona californiana,Cliona californiana,,,
Cliona limacina,Clione limacina,,,
Cliona lobata,Cliona lobata,,,
Cliona sp.,Cliona,,,
Cliothosa quadrata,Cliothosa quadrata,,,
Clistosaccus paguri,Clistosaccus paguri,,,
Clymenella torquata,Clymenella torquata,,,
Clymenura columbiana,Clymenura columbiana,,,
Clytia hemisphaerica,Clytia hemisphaerica,,,
Clytia spp.,Clytia,,,
Cnemidocarpa finmarkiensis,Cnemidocarpa finmarkiensis,,,
Coboldus sp,Coboldus sp,,,
Cocculina cowani,Cocculina cowani,,deep,
Codonellina cribriformis,Metroperiella cribriformis,,,
Coelogynopora cochleare,Coelogynopora cochleare,,,
Coelogynopora falcaria,Coelogynopora falcaria,,,
Coelogynopora frondifera,Coelogynopora frondifera,,,
Coelogynopora nodosa,Coelogynopora nodosa,,,
Coelogynopora scalpri,Coelogynopora scalpri,,,
Collastoma kozloffi,Collastoma kozloffi,,,
Collastoma pacifica,Collastoma pacifica,,,
Cribrilaria radiata,Cribrilaria radiata,,,
Colobomatus kyphosus,Colobomatus kyphosus,,,
Colossendeis angusta,Colossendeis angusta,,,
Colossendeis colossea,Colossendeis colossea,,,
Colossendeis tenera,Colossendeis tenera,,,
Colotrachelus careyi,Yaquinabyssia careyi,,deep,"presumably, not exact match (same family)"
Columbaora cyclocoxa,Columbaora cyclocoxa,,,
Columbiaemysis ignota,Columbiaemysis ignota,,,
Colurostylis,Colurostylis,,,
Colurostylis occidentalis,Anchicolurus occidentalis,,,
Colus adonis,Colus adonis,,,
Latisipho hallii,Latisipho hallii,,,
Neptunea brevicauda,Neptunea brevicauda,,,
Compsomyax subdiaphana,Compsomyax subdiaphana,,,
Conchocele bisecta,Conchocele bisecta,,,
Thyasira tricarinata,Thyasira tricarinata,,,
Conchoderma auritum,Conchoderma auritum,,,
Conchoderma virgatum,Conchoderma virgatum,,,
Alacia minor,Alacia minor,,,
Conchoecia elegans,Conchoecia elegans,,,
Conchoecia spinirostris,Conchoecia spinirostris,,,
Conocyema,Conocyema,,parasitic,
Conocyema deca,Conocyema deca,,parasitic,
Conopeum reticulum,Conopeum reticulum,,,
Cooperella subdiaphana,Cooperella subdiaphana,,,
Copidozoum protectum,Copidozoum protectum,,,
Copidozoum tenuirostre,Copidozoum tenuirostre,,,
Corallimorphus sp,Corallimorphus sp,,,
Corambe pacifica,Corambe pacifica,,,
Cordagalma ordinata,Cordagalma ordinata,,,
Cordylophora caspia,Cordylophora caspia,,,
Corella inflata,Corella inflata,,,
Corella willmeriana,Corella willmeriana,,,
Corolla spectabilis,Corolla spectabilis,,,
Coronopharynx pusillus,Coronopharynx pusillus,,,
Coronula diadema,Coronula diadema,,,
Coronula reginae,Coronula reginae,,,
Corophium,Corophium,,,
Corophium acherusicum,Corophium acherusicum,,,
Corophium baconi,Corophium baconi,,,
Corophium brevis,Corophium brevis,,,
Corophium crassicorne,Corophium crassicorne,,,
Corophium insidiosum,Corophium insidiosum,,,
Corophium salmonis,Corophium salmonis,,,
Corophium spinicorne,Corophium spinicorne,,,
Corymorpha sp,Corymorpha sp,,,
Cossura longocirrata,Cossura longocirrata,,,
Cossura soyeri,Cossura soyeri,,,
Costazia costazi,Costazia costazi,,,
Costazia robertsoniae,Costazia robertsoniae,,,
Costazia ventricosa,Costazia ventricosa,,,
Crangon alaskensis,Crangon alaskensis,,,
Crangon alba,Crangon alba,,,
Crangon dalli,Crangon dalli,,,
Crangon franciscorum,Crangon franciscorum,,,
Crangon franciscorum subsp. angustimana,Crangon franciscorum angustimana,,,
Crangon hondi,Crangon hondi,,,
Crangon nigricauda,Crangon nigricauda,,,
Crania californica,Crania californica,,,open coast
Craniella spinosa,Craniella spinosa,,,
Craniella villosa,Craniella villosa,,,
Crassicardia crassidens,Crassicardia crassidens,,,
Crassonemertes robusta,Crassonemertes robusta,,,
Crassostrea gigas,Crassostrea gigas,,,
Crassostrea virginica,Crassostrea virginica,,,
Craterobrisinga synaptoma,Craterobrisinga synaptoma,,deep,
Crenella decussata,Crenella decussata,,,
Crepidula adunca,Crepidula adunca,,,
Crepidula dorsata,Crepidula dorsata,,,
Crepidula fornicata,Crepidula fornicata,,,
Crepidula nummaria,Crepidula nummaria,,,
Crepidula perforans,Crepidula perforans,,,
Creseis virgula,Creseis virgula,,,
Cribrilina annulata,Cribrilina annulata,,,
Cribrilina corbicula,Cribrilina corbicula,,,
Cribrinopsis fernaldi,Cribrinopsis fernaldi,,,
Cribrinopsis williamsi,Cribrinopsis williamsi,,,Alaska only
Crimora coneja,Crimora coneja,,,
Crisia maxima,Crisia maxima,,,
Crisia occidentalis,Crisia occidentalis,,,
Crisia pugeti,Crisia pugeti,,,
Crisia serrulata,Crisia serrulata,,,
Crisidia cornuta,Crisidia cornuta,,,
Crossaster borealis,Crossaster borealis,,deep,
Crossaster papposus,Crossaster papposus,,,
Crossota sp.,Crossota,,,
Crucigera irregularis,Crucigera irregularis,,,
Crucigera zygophora,Crucigera zygophora,,,
Cryptaster sp,Cryptaster sp,,deep,
Cryptobranchia concenirica,Cryptobranchia concenirica,,,
Cryptochiton stelleri,Cryptochiton stelleri,,,
Cryptolaria spp,Cryptolaria spp,,,
Cryptolepas rachianecti,Cryptolepas rachianecti,,,
Cryptolithodes sitchensis,Cryptolithodes sitchensis,,,
Cryptolithodes typicus,Cryptolithodes typicus,,,
Cryptomya californica,Cryptomya californica,,,
Cryptonemertes actinophila,Cryptonemertes actinophila,,,
Cryptopeltaster lepidonotus,Cryptopeltaster lepidonotus,,deep,
Cryptosula pallasiana,Cryptosula pallasiana,,,
Chaetoderma,Chaetoderma,,,
Ctenodiscus crispatus,Ctenodiscus crispatus,,,
Ctenodrilus serratus,Ctenodrilus serratus,,,
Cucumaria fallax,Cucumaria fallax,,,
Cucumaria frondosa subsp. japonica,Cucumaria frondosa japonica,,,
Pseudocnus lubrica,Pseudocnus lubricus,,,
Cucumaria miniata,Cucumaria miniata,,,
Cucumaria piperata,Cucumaria piperata,,,
Cucumaria pseudocurata,Cucumaria pseudocurata,,,
Cucumaria vegae,Cucumaria vegae,,,
Cumanotus beaumonti,Cumanotus beaumonti,,,
Cumella ,Cumella ,,,
Cumella vulgaris,Cumella vulgaris,,,
Cumingia californica,Cumingia californica,,,
Cunina sp.,Cunina,,,
Cuspidaria apodema,Cuspidaria apodema,,deep,
Cuspidaria cowani,Cuspidaria cowani,,deep,
Cuspidaria filatovae,Cuspidaria filatovae,,deep,
Cuspidaria glacialis,Cuspidaria glacialis,,deep,
Cuspidaria variola,Cuspidaria variola,,deep,
Cuthona abronia,Cuthona abronia,,,
Cuthona albocrusta,Cuthona albocrusta,,,
Cuthona cocoachroma,Cuthona cocoachroma,,,
Cuthona concinna,Cuthona concinna,,,
Cuthona divae,Cuthona divae,,,
Cuthona nana,Cuthona nana,,,
Cuthona pustulata,Cuthona pustulata,,,
Cyamus boopis,Cyamus boopis,,,
Cyamus catodontis,Cyamus catodontis,,,
Cyamus ceti,Cyamus ceti,,,
Cyamus kessleri,Cyamus kessleri,,,
Cyamus sp.,Cyamus,,,
Cyanea capillata,Cyanea capillata,,,
Cyathoceras quaylei,Cyathoceras quaylei,,,
Cyathura carinata,Cyathura carinata,,,
Cyclaspis,Cyclaspis,,,
Cyclocardia crebricostata,Cyclocardia crebricostata,,,
Cyclocardia ventricosa,Cyclocardia ventricosa,,,
Delectopecten vancouverensis,Delectopecten vancouverensis,,,
Cyclopecten bistriatus,Cyclopecten bistriatus,,deep,
Cyclopecten carlottensis,Cyclopecten carlottensis,,deep,
Cyclopecten knudseni,Cyclopecten knudseni,,deep,
Cyclopecten squamiforis,Cyclopecten squamiformis,,deep,
Cyclostremella concordia,Cyclostremella concordia,,,
Cylichna alba,Cylichna alba,,,
Cylichna attonsa,Cylichna attonsa,,,
Cylichnella cerealis,Acteocina cerealis,,,
Acteocina culcitella ,Acteocina culcitella ,,,
Acteocina culcitella exima,Acteocina culcitella exima,,,
Acteocina harpa,Acteocina harpa,,,
Cymadusa uncinata,Cymadusa uncinata,,,
Cymodoce japonica,Cymodoce japonica,,,
Cyphocaris challengeri,Cyphocaris challengeri,,,
Cystocrepis setigera,Cystocrepis setigera,,deep,
Cystodytes lobatus,Cystodytes lobatus,,,
Cytharella victoriana,Cytharella victoriana,Victoria BC,,not in WoRMS
Cythere alveolivalva,Cythere alveolivalva,,,
Cythere lutea,Cythere lutea,,,
Cythere unifalcata,Cythere unifalcata,,,
Cythereis arachis,Cythereis arachis,,,
Cythereis aurita,Cythereis aurita,,,
Acanthocythereis dunelmensis,Acanthocythereis dunelmensis,,,
Cythereis filoplumosa,Cythereis filoplumosa,,,
Cythereis glauca,Cythereis glauca,,,
Patagonacythere longiducta,Patagonacythere longiducta,,,
Cythereis montereyensis,Cythereis montereyensis,,,
Cythereis pacifica,Cythereis pacifica,,,
Procythereis polita,Procythereis polita,,,
Cythereis serridentata,Cythereis serridentata,,,
Cytherois pusilla,Cytherois pusilla,,,
Hemicytherura clathrata,Hemicytherura clathrata,,,
Dacrydium pacificum,Dacrydium pacificum,,,
Dacrydium rostriferum,Dacrydium rostriferum,,deep,
Dakaria dawsoni,Dakaria dawsoni,,,
Dakaria ordinata,Dakaria ordinata,,,
Dakaria pristina,Dakaria pristina,,,
Decamastus gracilis,Decamastus gracilis,,,
Delectopecten randolphi,Delectopecten randolphi,,,
Delectopecten vancouverensis,Delectopecten vancouverensis,,,
Dendraster excentricus,Dendraster excentricus,,,
Dendrobeania curvirostrata,Dendrobeania curvirostrata,,,
Dendrobeania laxa,Dendrobeania laxa,,,
Dendrobeania lichenoides,Dendrobeania lichenoides,,,
Dendrobeania longispinosa,Dendrobeania longispinosa,,,
Dendrobeania murrayana,Dendrobeania murrayana,,,
Dendrochiton flectens,Dendrochiton flectens,,,
Lepidochitona semilirata,Lepidochitona semilirata,,,
Dendrodoa abbotti,Dendrodoa abbotti,,,
Dendronotus albopunctatus,Dendronotus albopunctatus,,,
Dendronotus albus,Dendronotus albus,,,
Dendronotus dalli,Dendronotus dalli,,,
Dendronotus diversicolor,Dendronotus diversicolor,,,
Dendronotus frondosus,Dendronotus frondosus,,,
Dendronotus iris,Dendronotus iris,,,
Dendronotus rufus,Dendronotus rufus,,,
Dendronotus subramosus,Dendronotus subramosus,,,
Dendropoma lituella,Dendropoma lituella,,,
Dentalium agassizi,Dentalium agassizi,,,
Antalis pretiosa,Antalis pretiosa,,,
Dentalium rectius,Dentalium rectius,,,
Dermasterias imbricata,Dermasterias imbricata,,,
Desmophyes annectens,Desmophyes annectens,,,
Desmophyes villafrancae,Desmophyes villafrancae,,,
Desmote inops,Desmote inops,,,
Detonella papillicornis,Detonella papillicornis,,,
Deutella californica,Deutella californica,,,
Dexamonica reduncans,Guernea reduncans,,,
Diacria trispinosa,Diacria trispinosa,,,
Diaperoecia californica,Diaperoecia californica,,,
Diaperoecia intermedia,Diaperoecia intermedia,,,
Diaperoecia johnstoni,Diaperoecia johnstoni,,,
Diaphana brunnea,Diaphana brunnea,,,
Diaphorodoris lirulatocauda,Diaphorodoris lirulatocauda,,,
Diarthrodes cystoecus,Diarthrodes cystoecus,,,
Diasterope sp.,Diasterope,,,
Diastylis,Diastylis,,,
Diastylis alaskensis,Diastylis alaskensis,,,
Diastylis aspera,Diastylis aspera,,,
Diastylis bidentata,Diastylis bidentata,,,
Diastylis dalli,Diastylis dalli,,,
Diastylis dawsoni,Diastylis dawsoni,,,
Diastylis nucella,Diastylis nucella,,,
Diastylis paraspinulosa,Diastylis paraspinulosa,,,
Diastylis pellucida,Diastylis pellucida,,,
Diastylis rathkei,Diastylis rathkei,,,
Diastylis umatillensis,Diastylis umatillensis,,,
Diastylopsis,Diastylopsis,,,
Diatomovora amoena,Diatomovora amoena,,,
Diaulula sandiegensis,Diaulula sandiegensis,,,
Clathria asodes,Clathria asodes,,,
Dicyema ,Dicyema ,,parasitic,
Dicyema apollyoni,Dicyema apollyoni,,parasitic,
Dicyemennea,Dicyemennea,,parasitic,
Dicyemennea abreida,Dicyemennea abreida,,parasitic,
Dicyemennea brevicephala,Dicyemennea brevicephala,,parasitic,
Dicyemennea brevicephaloides,Dicyemennea brevicephaloides,,parasitic,
Dicyemennea filiformis,Dicyemennea filiformis,,parasitic,
Didemnum albidum,Didemnum albidum,,,
Didemnum carnulentum,Didemnum carnulentum,,,
Dimophyes arctica,Dimophyes arctica,,,
Dinophilus kincaidi,Dinophilus kincaidi,Willapa Bay,,not in WoRMS
Diodora aspera,Diodora aspera,,,
Diopatra ornata,Diopatra ornata,,,
Diphasia spp.,Diphasia,,,
Dipleurosoma typicum,Dipleurosoma typicum,,,
Diplodonta impolita,Diplodonta impolita,,,
Diplodonta orbella,Diplodonta orbella,,,
Diplopteraster multipes,Diplopteraster multipes,,deep,
Diplosolen obelium,Diplosolen obelium,,,
Diplosoma macdonaldi,Diplosoma macdonaldi,,,
Dipsacaster anoplus,Dipsacaster anoplus,,deep,
Dipsacaster borealis,Dipsacaster borealis,,deep,
Dirona albolineata,Dirona albolineata,,,
Dirona aurantia,Dirona aurantia,,,
Dirona picta,Dirona picta,,,
Disacanthomysis dybowskii,Disacanthomysis dybowskii,,,
Discocytis canadensis,Discocytis canadensis,,,
Discodoris heathi,Discodoris heathi,,,
Nootkadrilus longisetosus,Nootkadrilus longisetosus,,,
Discorsopagurus schmitti,Discorsopagurus schmitti,,,
Discurria insessa,Discurria insessa,,,
Disporella fimbriata,Disporella fimbriata,,,
Disporella separata,Disporella separata,,,
Distaplia occidentalis,Distaplia occidentalis,,,
Distaplia smithi,Distaplia smithi,,,
Diurodrilus ankeli,Diurodrilus ankeli,,,
Dodecaceria concharum,Dodecaceria concharum,,,
Dodecaceria fewkesi,Dodecaceria fewkesi,,,
Doridella steinbergae,Doridella steinbergae,,,
Critomolgus ptilosarci,Critomolgus ptilosarci,,,
Doris odonoghuei,Doris odonoghuei,,,
Doryporella alcicornis,Doryporella alcicornis,,,
Doto amyra,Doto amyra,,,
Doto columbiana,Doto columbiana,,,
Doto kya,Doto kya,,,
Dougaloplus gastracanthus,Dougaloplus gastracanthus,,deep,
Drilonereis falcata subsp. minor,Drilonereis falcata minor,,,
Drilonereis longa,Drilonereis longa,,,
Drilonereis nuda,Drilonereis nuda,,,
Dryodora glandiformis,Dryodora glandiformis,,,
Thyonidium drummondii,Thyonidium kurilensis,,,European name in Koz; see Lambert
Dulichia rhabdoplastis,Dulichia rhabdoplastis,,,
Dulichia spp.,Dulichia,,,
Duplacrorhynchus major,Duplacrorhynchus major,,,
Amphisbetia operculata,Amphisbetia operculata,,,
Dynamena spp.,Dynamena,,,
Dynamenella benedicti,Dynamene benedicti,,,taxon inquirendum in  WoRMS
Dynamenella glabra,Dynamenella glabra,,,
Dynamenella sheareri,Dynamenella sheareri,,,
Dyopedos spp.,Dyopedos,,,
Dysidea fragilis,Dysidea fragilis,,,
Dysponetus pygmaeus,Dysponetus pygmaeus,,,
Dytaster gilberti,Dytaster gilberti,,deep,
Echiniscoides sigismundi,Echiniscoides sigismundi,,,
Echinocrepis rostrata,Echinocrepis rostrata,,deep,
Echinoderes kozloffi,Echinoderes kozloffi,,,
Echinoderes pennaki,Echinoderes pennaki,,,
Echinoderes sp.,Echinoderes,,,
Echiurus echiurus subsp. alaskanus,Echiurus echiurus alaskanus,,,
Ectomyxilla parasitica,Myxilla parasitica,,,
Edwardsia sipunculoides,Edwardsia sipunculoides,,,
Eirene mollis,Eirene mollis,,,
Elasmopus spp.,Elasmopus,,,
Elassochirus cavimanus,Elassochirus cavimanus,,,
Elassochirus gilli,Elassochirus gilli,,,
Elassochirus tenuimanus,Elassochirus tenuimanus,,,
Electra crustulenta arctica,Electra crustulenta arctica,,,
Ellisina levata,Ellisina levata,,,
Elysia hedgpethi,Elysia hedgpethi,,,
Emerita analoga,Emerita analoga,,,
Empleconia vaginata,Empleconia vaginata,,deep,
Emplectonema gracile,Emplectonema gracile,,,
Emplectonema purpuratum,Emplectonema purpuratum,,,
Enchytraeus kincaidi,Enchytraeus kincaidi,,,
Enchytraeus multiannulatus,Enchytraeus multiannulatus,,,
Enteroxenos parastichopoli,Enteroxenos parastichopoli,,,
Entodesma pictum,Entodesma pictum,,,
Eobrolgus spinosus,Eobrolgus spinosus,,,
Eogammarus confervicolus,Eogammarus confervicolus,,,
Eogammarus oclairi,Eogammarus oclairi,,,
Eohaustorius,Eohaustorius,,,
Eohaustorius brevicuspis,Eohaustorius brevicuspis,,,
Eohaustorius estuarius,Eohaustorius estuarius,,,
Eohaustorius sawyeri,Eohaustorius sawyeri,,,
Eohaustorius sencillus,Eohaustorius sencillus,,,
Eohaustorius washingtonianus,Eohaustorius washingtonianus,,,
Eperetmus typus,Eperetmus typus,,,
Epiactis fernaldi,Epiactis fernaldi,,,
Epiactis lisbethae,Epiactis lisbethae,,,
Epiactis prolifera,Epiactis prolifera,,,
Epiactis ritteri,Epiactis ritteri,,,
Epidiopatra hupferiana subsp. monroi,Epidiopatra hupferiana monroi,,,
Epizoanthus scotinus,Epizoanthus scotinus,,,
Eremicaster crassus,Eremicaster crassus,,deep,
Eremicaster pacificus,Eremicaster pacificus,,deep,
Ericthonius ,Ericthonius ,,,
Ericthonius brasiliensis,Ericthonius brasiliensis,,,
Ericthonius difformis,Ericthonius difformis,,,
Errinopora pourtalesii,Errinopora pourtalesii,,,
Eteone californica,Eteone californica,,,
Eteone longa,Eteone longa,,,
Eteone pacifica,Eteone pacifica,,,
Eteone spetsbergensis,Eteone spetsbergensis,,,
Eteone tuberculata,Eteone tuberculata,,,
Eualus avinus,Eualus avinus,,,
Eualus barbatus,Eualus barbatus,,,
Eualus berkeleyorum,Eualus berkeleyorum,,,
Eualus biunguis,Eualus biunguis,,,
Eualus fabricii,Eualus fabricii,,,
Eualus lineatus,Eualus lineatus,,,
Eualus macrophthalmus,Eualus macrophthalmus,,,
Eualus pusiolus,Eualus pusiolus,,,
Eualus suckleyi,Eualus suckleyi,,,
Eualus townsendi,Eualus townsendi,,,
Eubranchus misakiensis,Eubranchus misakiensis,,,
Eubranchus olivaceus,Eubranchus olivaceus,,,
Eubranchus rustyus,Eubranchus rustyus,,,
Eubranchus sanjuanensis,Eubranchus sanjuanensis,,,
Euchone analis,Euchone analis,,,
Euchone hancocki,Euchone hancocki,,,
Euchone incolor,Euchone incolor,,,
Euclymene reticulata,Euclymene reticulata,,,
Euclymene sp.,Euclymene,,,
Euclymene zonalis,Euclymene zonalis,,,
Eudendrium californicum,Eudendrium californicum,,,
Eudendrium spp.,Eudendrium,,,
Eudistylia catharinae,Eudistylia catharinae,,,
Eudistylia polymorpha,Eudistylia polymorpha,,,
Eudistylia vancouveri,Eudistylia vancouveri,,,
Eudorella ,Eudorella ,,,
Eudorella pacifica,Eudorella pacifica,,,
Eudorella tridentata,Eudorella tridentata,,,
Eudorellopsis ,Eudorellopsis ,,,
Eudorellopsis integra,Eudorellopsis integra,,,
Euherdmania claviformis,Euherdmania claviformis,,,not N of CA
Eukrohnia hamata,Eukrohnia hamata,,,
Eulalia bilineata,Eulalia bilineata,,,
Eulalia levicornuta,Eulalia levicornuta,,,
Eumida longicornuta,Eumida longicornuta,,,
Sige macroceros,Sige macroceros,,,
Bergstroemia nigrimaculata,Bergstroemia nigrimaculata,,,
Pterocirrus parvoseta,Pterocirrus parvoseta,,,
Eulalia quadrioculata,Eulalia quadrioculata,,,
Eulalia sanguinea,Eulalia sanguinea,,,
Eulalia tubiformis,Eulalia tubiformis,,,
Eulalia viridis,Eulalia viridis,,,
Melanella micans,Melanella micans,,,
Hypermastus randolphi,Hypermastus randolphi,,,
Polygireulima rutila,Polygireulima rutila,,,
Melanella thersites,Melanella thersites,,,
Halichondria sitiens,Halichondria sitiens,,,
Eunice aphroditois ,Eunice aphroditois ,,,
Eunice valens,Eunice valens,,,
Eunoe depressa,Eunoe depressa,,,
Eunoe nodosa,Eunoe nodosa,,,
Eunoe oerstedi,Eunoe oerstedi,,,
Eunoe senta,Eunoe senta,,,
Eunoe uniseriata,Eunoe uniseriata,,,
Eupentacta pseudoquinquesemita,Eupentacta pseudoquinquesemita,,,
Eupentacta quinquesemita,Eupentacta quinquesemita,,,
Euphausia pacifica,Euphausia pacifica,,,
Euphilomedes carcharodonta,Euphilomedes carcharodonta,,,
Euphilomedes longiseta,Euphilomedes longiseta,,,
Euphilomedes producta,Euphilomedes producta,,,
Euphrosine arctia,Euphrosine arctia,,,
Euphrosine bicirrata,Euphrosine bicirrata,,,
Euphrosine heterobranchia,Euphrosine heterobranchia,,,
Euphrosine hortensis,Euphrosine hortensis,,,
Euphysa flammea,Euphysa flammea,,,
Euphysa japonica,Euphysa japonica,,,
Euphysa ruthae,Euphysa ruthae,,,
Euphysa tentaculata,Euphysa tentaculata,,,
Euphysa spp.,Euphysa,,,
Euplokamis dunlapae,Euplokamis dunlapae,,,
Eupolymnia heterobranchia,Eupolymnia heterobranchia,,,
Eurylepta aurantiaca,Eurylepta aurantiaca,,,
Eurylepta leoparda,Eurylepta leoparda,,,
Integripelta bilabiata,Integripelta bilabiata,,,
Sergestes similis,Sergestes similis,,,
Eusirus spp.,Eusirus,,,
Eusyllis blomstrandi,Eusyllis blomstrandi,,,
Eusyllis japonica,Eusyllis japonica,,,
Eusyllis magnifica,Eusyllis magnifica,,,
Eutonina indicans,Eutonina indicans,,,
Euzonus mucronata,Euzonus mucronata,,,
Euzonus williamsi,Euzonus williamsi,,,
Evadne nordmanni,Evadne nordmanni,,,
Evasterias troscheli,Evasterias troscheli,,,
Exacanthomysis alaskensis,Exacanthomysis alaskensis,,,
Exacanthomysis davisi,Exacanthomysis davisi,,,
Excirolana chiltoni,Excirolana chiltoni,,,
Excirolana linguifrons,Excirolana linguifrons,,,
Excirolana vancouverensis,Excirolana vancouverensis,,,not found
Exilioidea rectirostris,Exilioidea rectirostris,,,
Exogone lourei,Exogone lourei,,,
Exogone molesta,Exogone molesta,,,
Exogone verugera,Exogone verugera,,,
Exosphaeroma amplicauda,Exosphaeroma amplicauda,,,
Dynamenella perforata,Dynamenella perforata,,,
Exosphaeroma inornata,Exosphaeroma inornata,,,
Exosphaeroma rhomburum,Exosphaeroma rhomburum,,,
Eyakia robustus,Eyakia robustus,,,
Fabia subquadrata,Fabia subquadrata,,,
Bansella oregonica,Bansella oregonica,,,
Fabricia sabella,Fabricia sabella,,,
Fabriciola berkeleyi,Fabriciola berkeleyi,,,
Fallacohospes inchoatus,Fallacohospes inchoatus,,,
Farranula,Farranula,,,
Fartulum occidentale,Fartulum occidentale,,,
Fenestrulina malusii,Fenestrulina malusii,,,
Fenestrulina malusii subsp. umbonata,Fenestrulina malusii umbonata,,,
Filellum serpens,Filellum serpens,,,
Filellum spp.,Filellum,,,
Filicrisia franciscana,Filicrisia franciscana,,,
Filifascigera fasciculata,Filifascigera fasciculata,,,
Fiona pinnata,Fiona pinnata,,,
Fissurellidea bimaculata,Fissurellidea bimaculata,,,
Puncturella pacifica,Puncturella pacifica,,deep,eop has diff name
Flabelligera affinis,Flabelligera affinis,,,
Flabellina trophina,Flabellina trophina,,,
Flabellina iodinea,Flabellina iodinea,,,
Flabellina pricei,Flabellina pricei,,,
Flabellina trilineata,Flabellina trilineata,,,
Flabellina verrucosa,Flabellina verrucosa,,,
Florometra serratissima,Florometra serratissima,,,
Flustrellidra corniculata,Flustrellidra corniculata,,,
Earleria ,Earleria ,,,
Earleria purpurea,Earleria purpurea,,,
Forcepia japonica,Forcepia japonica,,,
Foxiphalus cognatus,Foxiphalus cognatus,,,
Foxiphalus major,Foxiphalus major,,,
Foxiphalus obtusidens,Foxiphalus obtusidens,,,
Foxiphalus similis,Foxiphalus similis,,,
Freemania litoricola,Freemania litoricola,,,
Freyella microplax,Freyella microplax,,deep,
Freyellaster fecundus,Freyellaster fecundus,,deep,
Fritillaria borealis,Fritillaria borealis,,,
Funiculina parkeri,Funiculina parkeri,,,
Fusinus barbarensis,Fusinus barbarensis,,,
Fusinus harfordii,Fusinus harfordii,,,
Fusinus monksae,Fusinus monksae,,,
Fusitriton oregonensis,Fusitriton oregonensis,,,
Galathealinum brachiosum,Galathealinum brachiosum,,,
Galiteuthis phyllura,Galiteuthis phyllura,,,
Gammaridacarus orchestoideae,Gammaridacarus orchestoideae,,,not in WoRMS
Gammaropsis ellisi,Gammaropsis ellisi,,,
Gammaropsis shoemakeri,Gammaropsis shoemakeri,,,
Gammaropsis spinosa,Gammaropsis spinosa,,,
Gammaropsis thompsoni,Gammaropsis thompsoni,,,
Gari californica,Gari californica,,,
Garveia annulata,Garveia annulata,,,
Rhizorhagium roseum,Rhizorhagium roseum,,,
Gastrodelphys,Gastrodelphys,,,
Gastropteron pacificum,Gastropteron pacificum,,,
Gattyana ciliata,Gattyana ciliata,,,
Gattyana cirrhosa,Gattyana cirrhosa,,,
Gattyana iphionelloides,Gattyana iphionelloides,,,
Gattyana treadwelli,Gattyana treadwelli,,,
Gemelliporella inflata,Gemelliporella inflata,,,
Gennadas incertus,Gennadas incertus,,,
Gennadas propinquus,Gennadas propinquus,,,
Gennadas tinayrei,Gennadas tinayrei,,,
Geodia mesotriaena,Geodia mesotriaena,,,
Geodia robusta,Geodia lendenfeldi,,,junior homonym; replaced
Geomackiea zephyrolata,Geomackiea zephyrolata,,,
